Title,Year,imdbID,tmdbID
Sultan,2016,tt4832640,376812
Bajrangi Bhaijaan,2015,tt3863552,348892
Tiger Zinda Hai,2017,tt5956100,441909
Ra.One,2011,tt1562871,41517
Bāhubali 2: The Conclusion,2017,tt4849438,350312
Bāhubali: The Beginning,2015,tt2631186,256040
Absolution,2015,tt3503840,332976
Wrath of Man,2021,tt11083552,637649
Becky,2020,tt10314450,601844
Rampage: Capital Punishment,2014,tt3448226,250388
Skyfall,2012,tt1074638,37724
Sin City,2005,tt0401792,187
Maharaja,2024,tt26548265,1118224
The Taking of Pelham 1 2 3,2009,tt1111422,18487
The Host,2013,tt1517260,72710
Memory,2022,tt11827628,818397
Hitman: Agent 47,2015,tt2679042,249070
The Painter,2024,tt30253266,1211957
Bad Romance: The Vicky White Story,2023,tt29007231,1189796
The Girl with the Dragon Tattoo,2011,tt1568346,65754
Serenity,2005,tt0379786,16320
Shaun of the Dead,2004,tt0365748,747
Resident Evil: The Final Chapter,2016,tt2592614,173897
Resident Evil: Retribution,2012,tt1855325,71679
Resident Evil: Afterlife,2010,tt1220634,35791
Resident Evil: Extinction,2007,tt0432021,7737
Resident Evil: Apocalypse,2004,tt0318627,1577
Resident Evil,2002,tt0120804,1576
The Little Things,2021,tt10016180,602269
Wheelman,2017,tt5723286,471014
Blade: Trinity,2004,tt0359013,36648
Blade II,2002,tt0187738,36586
Blade,1998,tt0120611,36647
The Wolverine,2013,tt1430132,76170
X-Men Origins: Wolverine,2009,tt0458525,2080
Django Unchained,2012,tt1853728,68718
Thor: Ragnarok,2017,tt3501632,284053
Thor: The Dark World,2013,tt1981115,76338
Thor,2011,tt0800369,10195
Home Alone 4,2002,tt0329200,12536
Home Alone 3,1997,tt0119303,9714
Beauty and the Beast,2017,tt2771200,321612
Lara Croft: Tomb Raider - The Cradle of Life,2003,tt0325703,1996
A Good Day to Die Hard,2013,tt1606378,47964
Spectre,2015,tt2379713,206647
The Batman,2022,tt1877830,414906
IO,2019,tt3256226,433249
The Arrival,2016,tt5623378,401867
Ant-Man and the Wasp: Quantumania,2023,tt10954600,640146
Ant-Man and the Wasp,2018,tt5095030,363088
Orphan,2009,tt1148204,21208
The Next Three Days,2010,tt1458175,43539
Sanak,2021,tt13912632,790019
F9,2021,tt5433138,385128
Furious 7,2015,tt2820852,168259
Fast & Furious 6,2013,tt1905041,82992
Fast Five,2011,tt1596343,51497
Fast & Furious,2009,tt1013752,13804
The Fast and the Furious: Tokyo Drift,2006,tt0463985,9615
Sicario: Day of the Soldado,2018,tt5052474,400535
The Departed,2006,tt0407887,1422
Oldboy,2003,tt0364569,670
Cruella,2021,tt3228774,337404
Perfume: The Story of a Murderer,2006,tt0396171,1427
Unlocked,2017,tt1734493,291276
In Time,2011,tt1637688,49530
Hacksaw Ridge,2016,tt2119532,324786
Army of the Dead,2021,tt0993840,503736
Escape Plan: The Extractors,2019,tt6772804,480042
Escape Plan 2: Hades,2018,tt6513656,440471
Escape Plan,2013,tt1211956,107846
WALL·E,2008,tt0910970,10681
Top Gun: Maverick,2022,tt1745960,361743
Top Gun,1986,tt0092099,744
Arrival,2016,tt2543164,329865
V for Vendetta,2006,tt0434409,752
San Andreas,2015,tt2126355,254128
Déjà Vu,2006,tt0453467,7551
Forgotten,2017,tt7057496,488623
Takers,2010,tt1135084,22907
Furiosa: A Mad Max Saga,2024,tt12037194,786892
Ant-Man,2015,tt0478970,102899
No Time to Die,2021,tt2382320,370172
Erased,2012,tt1645155,106021
Ex Machina,2015,tt0470752,264660
Quantum of Solace,2008,tt0830515,10764
Batman v Superman: Dawn of Justice,2016,tt2975590,209112
